salario_num,faixa_salarial,nivel_cargo,exp_dados,genero,regiao,cargo_std,nivel_ensino,setor
1500.0,de R$ 1.001/mês a R$ 2.000/mês,Júnior,de 1 a 2 anos,Masculino,Sul,Analista de Dados,Estudante de Graduação,Marketing
500.0,Menos de R$ 1.000/mês,Júnior,Menos de 1 ano,Masculino,Sul,Analista de BI,Estudante de Graduação,Finanças ou Bancos
1500.0,de R$ 1.001/mês a R$ 2.000/mês,Júnior,Não tenho experiência na área de dados,Masculino,Sudeste,Outro,Estudante de Graduação,Indústria
1500.0,de R$ 1.001/mês a R$ 2.000/mês,Júnior,Menos de 1 ano,Masculino,Sudeste,Analista de Dados,Estudante de Graduação,Tecnologia/Fábrica de Software
1500.0,de R$ 1.001/mês a R$ 2.000/mês,Júnior,Menos de 1 ano,Masculino,Sudeste,Dev/Software Engineer,Estudante de Graduação,Tecnologia/Fábrica de Software
7000.0,de R$ 6.001/mês a R$ 8.000/mês,Júnior,de 5 a 6 anos,Masculino,Sudeste,Analista de BI,Graduação/Bacharelado,Telecomunicação
1500.0,de R$ 1.001/mês a R$ 2.000/mês,Júnior,Não tenho experiência na área de dados,Masculino,Sudeste,Outro,Estudante de Graduação,Outra Opção
500.0,Menos de R$ 1.000/mês,Júnior,Não tenho experiência na área de dados,Masculino,Nordeste,Outro,Não tenho graduação formal,Outra Opção
3500.0,de R$ 3.001/mês a R$ 4.000/mês,Pleno,Não tenho experiência na área de dados,Masculino,Sudeste,Dev/Software Engineer,Estudante de Graduação,Tecnologia/Fábrica de Software
2500.0,de R$ 2.001/mês a R$ 3.000/mês,Júnior,Menos de 1 ano,Masculino,Sudeste,Dev/Software Engineer,Graduação/Bacharelado,Setor Público
500.0,Menos de R$ 1.000/mês,Júnior,Não tenho experiência na área de dados,Masculino,Sudeste,Outro,Estudante de Graduação,Área da Saúde
3500.0,de R$ 3.001/mês a R$ 4.000/mês,Júnior,de 1 a 2 anos,Masculino,Sul,Engenheiro de Dados,Estudante de Graduação,Área de Consultoria
5000.0,de R$ 4.001/mês a R$ 6.000/mês,Júnior,Menos de 1 ano,Masculino,Sudeste,Analytics Engineer,Estudante de Graduação,Varejo
2500.0,de R$ 2.001/mês a R$ 3.000/mês,Júnior,de 1 a 2 anos,Feminino,Sul,Engenheiro de Dados,Estudante de Graduação,Telecomunicação
3500.0,de R$ 3.001/mês a R$ 4.000/mês,Pleno,de 3 a 4 anos,Masculino,Sudeste,Analista de Negócios,Estudante de Graduação,Marketing
3500.0,de R$ 3.001/mês a R$ 4.000/mês,Júnior,de 1 a 2 anos,Masculino,Centro-oeste,Analista de BI,Estudante de Graduação,Marketing
500.0,Menos de R$ 1.000/mês,Júnior,Menos de 1 ano,Masculino,Sudeste,Outro,Estudante de Graduação,Entretenimento ou Esportes
2500.0,de R$ 2.001/mês a R$ 3.000/mês,Pleno,de 1 a 2 anos,Masculino,Centro-oeste,Analista de Negócios,Estudante de Graduação,Finanças ou Bancos
2500.0,de R$ 2.001/mês a R$ 3.000/mês,Júnior,de 1 a 2 anos,Masculino,Sul,Analista de BI,Estudante de Graduação,Indústria
1500.0,de R$ 1.001/mês a R$ 2.000/mês,Júnior,Não tenho experiência na área de dados,Masculino,Sudeste,Outro,Estudante de Graduação,Outra Opção
3500.0,de R$ 3.001/mês a R$ 4.000/mês,Júnior,de 1 a 2 anos,Masculino,Centro-oeste,Analista de Dados,Estudante de Graduação,Tecnologia/Fábrica de Software
